,t,no,desc,decision,age,vmt,ypd,value
141,2021,27847.0,2007 GMC 3/4 TON PU',2007,13.0,146534.0,-14,{2021: 0.47878623154626715}
142,2021,27849.0,2007 GMC 3/4 TON PU',2007,13.0,185216.0,-14,{2021: 0.5111753303217617}
143,2021,27851.0,2007 GMC 3/4 TON PU',2007,13.0,132416.0,-14,{2021: 0.4521789706505311}
144,2021,27854.0,2007 GMC 3/4 TON PU',2007,13.0,142516.0,-14,{2021: 0.4490988801669356}
145,2021,27859.0,2007 GMC 3/4 TON PU',2007,13.0,175784.0,-14,{2021: 0.5169483618301148}
146,2021,27870.0,2007 CHEVROLET IMPALA',2007,13.0,87302.0,-14,{2021: 0.40344510982617515}
147,2021,27872.0,2007 CHEVROLET MALIBU',2007,13.0,92228.0,-14,{2021: 0.4104003989624184}
148,2021,27873.0,2007 JEEP Grand Cherokee',2007,13.0,114915.0,-14,{2021: 0.4281610857469494}
149,2021,27874.0,2007 HONDA CIVIC',2007,13.0,116378.0,-14,{2021: 0.4153077708773917}
150,2021,27875.0,2007 HONDA CIVIC',2007,13.0,81511.0,-14,{2021: 0.3860946737042764}
151,2021,27876.0,2007 HONDA CIVIC',2007,13.0,160151.0,-14,{2021: 0.45198270426881554}
152,2021,27877.0,2007 HONDA CIVIC',2007,13.0,108788.0,-14,{2021: 0.4089485370016942}
153,2021,27878.0,2007 HONDA CIVIC',2007,13.0,79966.0,-14,{2021: 0.38480020514855146}
154,2021,27879.0,2007 HONDA CIVIC',2007,13.0,84129.0,-14,{2021: 0.3882881485773431}
155,2021,27880.0,2007 HONDA CIVIC',2007,13.0,86839.0,-14,{2021: 0.3905587050731455}
156,2021,27881.0,2007 HONDA CIVIC',2007,13.0,82162.0,-14,{2021: 0.38664010996950426}
157,2021,27882.0,2007 HONDA CIVIC',2007,13.0,94348.0,-14,{2021: 0.3968500736070866}
158,2021,27883.0,2007 HONDA CIVIC',2007,13.0,139394.0,-14,{2021: 0.43459158206092974}
159,2021,27884.0,2007 HONDA CIVIC',2007,13.0,90827.0,-14,{2021: 0.3939000258499942}
160,2021,27885.0,2007 HONDA CIVIC',2007,13.0,84144.0,-14,{2021: 0.38830071623322393}
161,2021,27886.0,2007 HONDA CIVIC',2007,13.0,102167.0,-14,{2021: 0.403401173695898}
162,2021,27887.0,2007 HONDA CIVIC',2007,13.0,102178.0,-14,{2021: 0.4034103899768773}
163,2021,27889.0,2007 HONDA CIVIC',2007,13.0,83594.0,-14,{2021: 0.38783990218426034}
164,2021,27890.0,2007 HONDA CIVIC',2007,13.0,127101.0,-14,{2021: 0.4242919691447309}
165,2021,27891.0,2007 HONDA CIVIC',2007,13.0,117752.0,-14,{2021: 0.41645896815607525}
166,2021,27892.0,2007 HONDA CIVIC',2007,13.0,133333.0,-14,{2021: 0.429513411241351}
167,2021,27893.0,2007 HONDA CIVIC',2007,13.0,61985.0,-14,{2021: 0.3697349371223437}
168,2021,27895.0,2007 FORD TAURUS',2007,13.0,58729.0,-14,{2021: 0.376506188433341}
169,2021,27896.0,2007 CHEVROLET MALIBU',2007,13.0,41581.0,-14,{2021: 0.3602141554401418}
170,2021,27901.0,2008 FORD ESCAPE',2007,13.0,198661.0,-14,{2021: 0.4842480661335205}
171,2021,27902.0,2008 FORD ESCAPE',2007,13.0,108292.0,-14,{2021: 0.4085329665139016}
172,2021,27903.0,2008 FORD ESCAPE',2007,13.0,127479.0,-14,{2021: 0.4246086740729276}
173,2021,27905.0,2008 FORD ESCAPE',2007,13.0,186990.0,-14,{2021: 0.47446959201451316}
174,2021,27906.0,2008 FORD ESCAPE',2007,13.0,143731.0,-14,{2021: 0.438225310297939}
175,2021,27907.0,2008 FORD ESCAPE',2007,13.0,117465.0,-14,{2021: 0.41621850700688884}
176,2021,27909.0,2008 FORD ESCAPE',2007,13.0,144089.0,-14,{2021: 0.438525258351628}
177,2021,27910.0,2008 FORD ESCAPE',2007,13.0,157156.0,-14,{2021: 0.44947336231127744}
178,2021,27911.0,2008 FORD ESCAPE',2007,13.0,128626.0,-14,{2021: 0.4255696808259481}
179,2021,27912.0,2008 FORD ESCAPE',2007,13.0,100193.0,-14,{2021: 0.4017472701819814}
180,2021,27913.0,2008 FORD ESCAPE',2007,13.0,79331.0,-14,{2021: 0.3842681743829298}
181,2021,27914.0,2008 FORD ESCAPE',2007,13.0,78744.0,-14,{2021: 0.38377636011612687}
182,2021,27915.0,2008 FORD ESCAPE',2007,13.0,166089.0,-14,{2021: 0.45695782031017146}
183,2021,27916.0,2008 FORD ESCAPE',2007,13.0,119513.0,-14,{2021: 0.41793441095648415}
184,2021,27919.0,2008 FORD ESCAPE',2007,13.0,111957.0,-14,{2021: 0.41160366376744983}
185,2021,27923.0,2008 JEEP LIBERTY',2007,13.0,152153.0,-14,{2021: 0.4691229364580675}
186,2021,27924.0,2008 JEEP LIBERTY',2007,13.0,142792.0,-14,{2021: 0.45791167596178733}
187,2021,27925.0,2008 JEEP LIBERTY',2007,13.0,148420.0,-14,{2021: 0.4639153602030303}
188,2021,27926.0,2008 JEEP LIBERTY',2007,13.0,71731.0,-14,{2021: 0.39219344589534916}
189,2021,27927.0,2008 JEEP LIBERTY',2007,13.0,70946.0,-14,{2021: 0.39005083082146}
190,2021,27928.0,2008 JEEP LIBERTY',2007,13.0,105290.0,-14,{2021: 0.4198656885402784}
191,2021,27930.0,2008 JEEP LIBERTY',2007,13.0,190168.0,-14,{2021: 0.516611662099405}
192,2021,27931.0,2008 JEEP LIBERTY',2007,13.0,92649.0,-14,{2021: 0.4093650491630993}
193,2021,27943.0,2008 CHEVROLET IMPALA',2008,12.0,145978.0,-13,{2021: 0.4695457401795627}
194,2021,27951.0,2008 CHEVROLET IMPALA',2008,12.0,106000.0,-13,{2021: 0.4030527350458105}
195,2021,27952.0,2008 CHEVROLET IMPALA',2008,12.0,113853.0,-13,{2021: 0.4103985285757575}
196,2021,27956.0,2008 CHEVROLET IMPALA',2008,12.0,90786.0,-13,{2021: 0.3867223882449851}
197,2021,27957.0,2008 CHEVROLET IMPALA',2008,12.0,78387.0,-13,{2021: 0.3854162655056103}
198,2021,27962.0,2008 FORD FOCUS',2008,12.0,119095.0,-13,{2021: 0.41444368646262525}
199,2021,27963.0,2008 FORD FOCUS',2008,12.0,100916.0,-13,{2021: 0.4009104867164937}
200,2021,27964.0,2008 FORD FOCUS',2008,12.0,103414.0,-13,{2021: 0.3889623943148674}
201,2021,27965.0,2008 FORD FOCUS',2008,12.0,132192.0,-13,{2021: 0.4201201511399284}
202,2021,27966.0,2008 FORD FOCUS',2008,12.0,113543.0,-13,{2021: 0.41020441141146347}
203,2021,27967.0,2008 FORD FOCUS',2008,12.0,120769.0,-13,{2021: 0.4156566505783199}
204,2021,27969.0,2008 FORD FOCUS',2008,12.0,48116.0,-13,{2021: 0.3449562384820833}
205,2021,27970.0,2008 FORD FOCUS',2008,12.0,108745.0,-13,{2021: 0.3973819794692909}
206,2021,27971.0,2008 FORD FOCUS',2008,12.0,92243.0,-13,{2021: 0.3736957326839007}
207,2021,27980.0,2008 FORD CROWN VICTORIA',2008,12.0,76859.0,-13,{2021: 0.361629363617416}
208,2021,27985.0,2008 FORD CROWN VICTORIA',2008,12.0,133231.0,-13,{2021: 0.42520462313825497}
209,2021,27987.0,2008 FORD CROWN VICTORIA',2008,12.0,139297.0,-13,{2021: 0.42321944315638593}
210,2021,27991.0,2008 FORD CROWN VICTORIA',2008,12.0,135436.0,-13,{2021: 0.4383570282480973}
211,2021,28004.0,2008 FORD CROWN VICTORIA',2008,12.0,111342.0,-13,{2021: 0.3987679167882684}
212,2021,28005.0,2008 FORD CROWN VICTORIA',2008,12.0,190039.0,-13,{2021: 0.4862089973393278}
213,2021,28022.0,2008 FORD CROWN VICTORIA',2008,12.0,107142.0,-13,{2021: 0.40002447785505535}
214,2021,28040.0,2008 FORD CROWN VICTORIA',2008,12.0,182013.0,-13,{2021: 0.47761927459699133}
215,2021,28065.0,2008 FORD CROWN VICTORIA',2008,12.0,144952.0,-13,{2021: 0.42128571234008483}
216,2021,28073.0,2008 FORD CROWN VICTORIA',2008,12.0,129371.0,-13,{2021: 0.41557819958314446}
217,2021,28074.0,2008 FORD CROWN VICTORIA',2008,12.0,168653.0,-13,{2021: 0.45611669744044525}
218,2021,28076.0,2008 FORD CROWN VICTORIA',2008,12.0,143418.0,-13,{2021: 0.4357860124820653}
219,2021,28082.0,2008 FORD CROWN VICTORIA',2008,12.0,176857.0,-13,{2021: 0.47118840335314194}
220,2021,28084.0,2008 FORD CROWN VICTORIA',2008,12.0,127072.0,-13,{2021: 0.40873421004362964}
221,2021,28091.0,2008 FORD CROWN VICTORIA',2008,12.0,147429.0,-13,{2021: 0.43687526393633086}
222,2021,28096.0,2008 FORD CROWN VICTORIA',2008,12.0,174952.0,-13,{2021: 0.45147074522881625}
223,2021,30004.0,2008 FORD CROWN VICTORIA',2008,12.0,171984.0,-13,{2021: 0.4904786597231661}
224,2021,30006.0,2008 FORD CROWN VICTORIA',2008,12.0,136697.0,-13,{2021: 0.4159939152905937}
