equipmentid,vehicledescription,vehicle_type,dept_name,deptid,purchasedate,age2020,purchaseprice,depreceated value,miles2020,cumulative_miles,maintenance2020,cumulative_maintenance,mpg2020,emissions2020,replacementvehicle_id,replacement_vehicle_desc,replacement_vehicle_purchaseprice,replacement_vehicle_mpge,replacement_vehicle_type,replacement_vehicle_annual_maintenance
R1269,Ford F 250 Super Duty XL,ICE,Fire Department - Operations,10161604,12/31/2021,0,42000,42000,3164,0,1227.8,0,14.6,0,R8168,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1270,Ford F 250 Super Duty XL,ICE,Fire Department - Operations,10161604,12/31/2021,0,42000,42000,4758,0,1227.8,0,14.6,0,R8169,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1271,Ford F 250 Super Duty XL,ICE,Fire Department - Operations,10161604,12/31/2021,0,42000,42000,5589,0,1227.8,0,14.6,0,R8170,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1272,Ford F 250 Super Duty XL,ICE,Fire Department - Operations,10161604,12/31/2021,0,42000,42000,1913,0,1227.8,0,14.6,0,R8171,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1273,Ford F 250 Super Duty XL,ICE,Fire Department - Operations,10161604,12/31/2021,0,42000,42000,1411,0,1227.8,0,14.6,0,R8172,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1274,Ford F 250 Super Duty XL,ICE,DPW: Solid Waste Management (Refuse Disposal),10707603,12/31/2021,0,42000,42000,1701,0,1227.8,0,14.6,0,R8173,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1275,Ford Transit 350HD Cargo Van,EV,DPW: Solid Waste Management (Refuse Disposal),10707603,12/31/2021,0,46000,46000,1571,0,1513.2,0,66,0,R8174,Ford Transit 350HD Cargo Van,46000,66,EV,1513.2
R1276,Ford Transit 350HD Passenger Van,EV,DPW: Solid Waste Management (MRF Operations),10707605,12/31/2021,0,46000,46000,6017,0,1529.4,0,66,0,R8175,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4
R1277,Ford F 250 Super Duty XL,ICE,DPW: Solid Waste Management (Refuse Disposal),10707603,12/31/2021,0,42000,42000,2255,0,1227.8,0,14.6,0,R8176,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1278,Chrysler Pacifica Hybrid,HEV,Police Department - Vice/Narcotics,10151504,12/31/2021,0,40000,40000,21915,0,984.6,0,82,0,R8177,Chrysler Pacifica Hybrid,40000,82,HEV,984.6
R1279,Ford Explorer,HEV,Police Department - Investigative Services,10151503,12/31/2021,0,46000,46000,16346,0,1198.6,0,25,0,R8178,Ford Explorer,46000,25,HEV,1198.6
R1280,Chevrolet Bolt EV,EV,Police Department - Investigative Services,10151503,12/31/2021,0,31300,31300,12986,0,777.2,0,106,0,R8179,Chevrolet Bolt EV,31300,106,EV,777.2
R1281,Ford Fusion,PHEV,Police Department - Investigative Services,10151503,12/31/2021,0,36000,36000,12454,0,1023.6,0,103,0,R8180,Ford Fusion,36000,103,PHEV,1023.6
R1282,Ford Fusion,PHEV,Police Department - Investigative Services,10151503,12/31/2021,0,36000,36000,16602,0,1023.6,0,103,0,R8181,Ford Fusion,36000,103,PHEV,1023.6
R1283,Ford Escape,HEV,Police Department - Investigative Services,10151503,12/31/2021,0,29000,29000,14544,0,1110.2,0,39,0,R8182,Ford Escape,29000,39,HEV,1110.2
R1284,Chrysler Pacifica Hybrid,HEV,Police Department - Vice/Narcotics,10151504,12/31/2021,0,40000,40000,12845,0,984.6,0,82,0,R8183,Chrysler Pacifica Hybrid,40000,82,HEV,984.6
R1285,Ford F 250 Super Duty XL,ICE,DPW: Equipment Maintenance,10707503,12/31/2021,0,42000,42000,9315,0,1227.8,0,14.6,0,R8184,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1286,Ford Transit 350HD Passenger Van,EV,Police Department - Administrative/Technical Services,10151502,12/31/2021,0,46000,46000,4774,0,1529.4,0,66,0,R8185,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4
R1287,Ford Transit 350HD Passenger Van,EV,Police Department - Support Operations,10151507,12/31/2021,0,46000,46000,13530,0,1529.4,0,66,0,R8186,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4
R1288,Ford Explorer,HEV,Police Department - Vice/Narcotics,10151504,12/31/2021,0,46000,46000,15459,0,1198.6,0,25,0,R8187,Ford Explorer,46000,25,HEV,1198.6
R1289,Ford Transit 350HD Passenger Van,EV,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,12/31/2021,0,46000,46000,10437,0,1529.4,0,66,0,R8188,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4
R1290,Ford E-450,EV,DPW: Bureau of Transportation Specialized Transp,005070XX22,12/31/2021,0,105000,105000,19153,0,1823,0,33.7,0,R8189,Ford E-450,105000,33.7,EV,1823
R1291,Ford E-450,EV,Department of Aging (Rural Transportation),005034XX28,12/31/2021,0,105000,105000,15929,0,1823,0,33.7,0,R8190,Ford E-450,105000,33.7,EV,1823
R1292,Ford Transit 350HD Passenger Van,EV,DPW: Bureau of Transportation Specialized Transp,005070XX22,12/31/2021,0,46000,46000,18047,0,1529.4,0,66,0,R8191,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4
R1293,Ford Transit 350HD Passenger Van,EV,DPW: Bureau of Transportation,10707704,12/31/2021,0,46000,46000,20628,0,1529.4,0,66,0,R8192,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4
R1294,Chevrolet Bolt EV,EV,Police Department - Investigative Services,10151503,12/31/2021,0,31300,31300,13434,0,777.2,0,106,0,R8193,Chevrolet Bolt EV,31300,106,EV,777.2
R1295,Chevrolet Bolt EV,EV,Police Department - Investigative Services,10151503,12/31/2021,0,31300,31300,24759,0,777.2,0,106,0,R8194,Chevrolet Bolt EV,31300,106,EV,777.2
R1296,Ford Transit 350HD Cargo Van,EV,Fire Department - Field Operations,10161606,12/31/2021,0,46000,46000,17588,0,1513.2,0,66,0,R8195,Ford Transit 350HD Cargo Van,46000,66,EV,1513.2
R1297,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,32932,0,1023.6,0,103,0,R8196,Ford Fusion,36000,103,PHEV,1023.6
R1298,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,49657,0,1023.6,0,103,0,R8197,Ford Fusion,36000,103,PHEV,1023.6
R1299,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,44681,0,1023.6,0,103,0,R8198,Ford Fusion,36000,103,PHEV,1023.6
R1300,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,26094,0,1023.6,0,103,0,R8199,Ford Fusion,36000,103,PHEV,1023.6
