equipmentid,vehicledescription,vehicle_type,dept_name,deptid,purchasedate,age2020,purchaseprice,depreceated value,miles2020,cumulative_miles,maintenance2020,cumulative_maintenance,mpg2020,emissions2020,replacementvehicle_id,replacement_vehicle_desc,replacement_vehicle_purchaseprice,replacement_vehicle_mpge,replacement_vehicle_type
31101,2014 MAZDA 6 (SIX)',ICE,Police Department - Vice/Narcotics,10151504,2/6/15,5,19836.54,2204.06,"15,397","77,780",804.65,24.79,30,1242.54,R893,Ford Fusion,36000,103,PHEV
31104,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/11/15,5,26574.00,3321.75,"17,611","169,689",920.35,22173.73,21,2030.30,R894,Ford Fusion,36000,103,PHEV
31107,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/11/15,5,26574.00,3321.75,"3,518","96,811",442.91,11448.92,21,405.58,R895,Ford Fusion,36000,103,PHEV
31108,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/11/15,5,26574.00,3321.75,"9,470","98,376",4205.33,12466.18,21,1091.76,R896,Ford Fusion,36000,103,PHEV
31109,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/24/15,5,26574.00,3321.75,"5,946","109,786",292.82,11389.63,21,685.49,R897,Ford Fusion,36000,103,PHEV
31111,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/12/15,5,26574.00,3321.75,"7,999","125,070",2289.68,15636.33,21,922.17,R898,Ford Fusion,36000,103,PHEV
31113,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/12/15,5,26574.00,3321.75,"1,566","107,796",506.71,13855.08,21,180.54,R899,Ford Fusion,36000,103,PHEV
31116,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/12/15,5,26574.00,3321.75,"26,500","125,219",5544.52,19449.79,21,3055.07,R900,Ford Fusion,36000,103,PHEV
31117,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/12/15,5,26574.00,3321.75,"5,357","136,573",1443.29,14951.35,21,617.59,R901,Ford Fusion,36000,103,PHEV
31118,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/12/15,5,26574.00,3321.75,"1,090","148,451",2525.63,20688.67,21,125.66,R902,Ford Fusion,36000,103,PHEV
31119,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/12/15,5,26574.00,3321.75,"6,679","160,159",2524.98,24494.87,21,769.99,R903,Ford Fusion,36000,103,PHEV
31120,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/12/15,5,26574.00,3321.75,"4,351","131,173",292.52,15902.24,21,501.61,R904,Ford Fusion,36000,103,PHEV
31122,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/12/15,5,26574.00,3321.75,"4,764","90,889",1278.64,11012.05,21,549.22,R905,Ford Fusion,36000,103,PHEV
31123,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/12/15,5,26574.00,3321.75,"5,500","110,074",92.01,11544.60,21,634.07,R906,Ford Fusion,36000,103,PHEV
